view_id,config_name,status,reason,ckpt,depth_peft_ckpt,num_images,num_abnormal,num_normal,auroc_rgb,auroc_depth,auroc_fusion,auroc_rgb_isolated,auroc_depth_isolated,delta_rgb_vs_baseline,delta_depth_vs_baseline,delta_fusion_vs_baseline,delta_rgb_isolated_vs_baseline,delta_depth_isolated_vs_baseline,delta_rgb_vs_cam4peft,delta_depth_vs_cam4peft,delta_fusion_vs_cam4peft,delta_rgb_isolated_vs_cam4peft,delta_depth_isolated_vs_cam4peft,result_json
1,baseline,ok,,outputs/rail_all/Cam1/20260430_233006_cam1_bs32_lr0.005_img512_ratio1.0/best_cam1.pth,,21,11,10,0.81818182,0.72727273,0.73636364,0.79090909,0.80909091,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02727273,0.01818182,0.00000000,0.00000000,0.23636364,results\cam4_cfca_repair_cross_camera_20260504_225252\cam1_baseline\result.json
1,with_cam4peft,ok,,outputs/rail_all/Cam1/20260430_233006_cam1_bs32_lr0.005_img512_ratio1.0/best_cam1.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,21,11,10,0.79090909,0.70909091,0.73636364,0.79090909,0.57272727,-0.02727273,-0.01818182,0.00000000,0.00000000,-0.23636364,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,results\cam4_cfca_repair_cross_camera_20260504_225252\cam1_with_cam4peft\result.json
1,with_cam4_cfca_repair,ok,,outputs/rail_ablation/cam4_cfca_repair/cf_ca/cam4_cf_ca_20260504_170923/final/repair_cam4.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,21,11,10,0.61818182,0.57272727,0.61818182,0.84545455,0.55454545,-0.20000000,-0.15454546,-0.11818182,0.05454546,-0.25454546,-0.17272727,-0.13636364,-0.11818182,0.05454546,-0.01818182,results\cam4_cfca_repair_cross_camera_20260504_225252\cam1_with_cam4_cfca_repair\result.json
5,baseline,ok,,outputs/rail_all/Cam5/20260501_022643_cam5_bs32_lr0.005_img512_ratio1.0/best_cam5.pth,,14,7,7,0.85714286,0.73469388,0.75510204,0.79591837,0.79591837,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04081633,0.06122449,-0.08163265,0.00000000,0.02040817,results\cam4_cfca_repair_cross_camera_20260504_225252\cam5_baseline\result.json
5,with_cam4peft,ok,,outputs/rail_all/Cam5/20260501_022643_cam5_bs32_lr0.005_img512_ratio1.0/best_cam5.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,14,7,7,0.81632653,0.67346939,0.83673469,0.79591837,0.77551020,-0.04081633,-0.06122449,0.08163265,0.00000000,-0.02040817,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,results\cam4_cfca_repair_cross_camera_20260504_225252\cam5_with_cam4peft\result.json
5,with_cam4_cfca_repair,ok,,outputs/rail_ablation/cam4_cfca_repair/cf_ca/cam4_cf_ca_20260504_170923/final/repair_cam4.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,14,7,7,0.75510204,0.79591837,0.75510204,0.73469388,0.51020408,-0.10204082,0.06122449,0.00000000,-0.06122449,-0.28571429,-0.06122449,0.12244898,-0.08163265,-0.06122449,-0.26530612,results\cam4_cfca_repair_cross_camera_20260504_225252\cam5_with_cam4_cfca_repair\result.json
