scope,fold,rgb_auroc,depth_auroc,fusion_auroc,train_good,test_good,ckpt
cf_only,1,0.68750000,0.68750000,0.65000000,20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134,outputs/rail_ablation/cam4_cfca_repair/cf_only/cam4_cf_only_20260504_154942/cv/fold1/repair_cam4.pth
cf_only,2,0.81250000,0.70000000,0.81250000,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20250417_123456_Cam4_00152 20251112_191827_Cam4_00034,outputs/rail_ablation/cam4_cfca_repair/cf_only/cam4_cf_only_20260504_154942/cv/fold2/repair_cam4.pth
cf_only,3,0.81250000,0.66250000,0.70000000,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20251112_191827_Cam4_00063 20251112_191827_Cam4_00066,outputs/rail_ablation/cam4_cfca_repair/cf_only/cam4_cf_only_20260504_154942/cv/fold3/repair_cam4.pth
cf_only,4,0.38750000,0.78750000,0.45000000,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066,20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,outputs/rail_ablation/cam4_cfca_repair/cf_only/cam4_cf_only_20260504_154942/cv/fold4/repair_cam4.pth
