scope,fold,rgb_auroc,depth_auroc,fusion_auroc,train_good,test_good,ckpt
ca_only,1,0.47500000,0.90000000,0.53750000,20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134,outputs/rail_ablation/cam4_cfca_repair/ca_only/cam4_ca_only_20260504_163147/cv/fold1/repair_cam4.pth
ca_only,2,0.37500000,0.83750000,0.37500000,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20250417_123456_Cam4_00152 20251112_191827_Cam4_00034,outputs/rail_ablation/cam4_cfca_repair/ca_only/cam4_ca_only_20260504_163147/cv/fold2/repair_cam4.pth
ca_only,3,0.46250000,0.86250000,0.47500000,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20251112_191827_Cam4_00063 20251112_191827_Cam4_00066,outputs/rail_ablation/cam4_cfca_repair/ca_only/cam4_ca_only_20260504_163147/cv/fold3/repair_cam4.pth
ca_only,4,0.40000000,0.87500000,0.41250000,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066,20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,outputs/rail_ablation/cam4_cfca_repair/ca_only/cam4_ca_only_20260504_163147/cv/fold4/repair_cam4.pth
